epochs,train_loss,val_loss,train_acc,val_acc
26,0.486342,1.465395,0.824689,0.619
27,0.467425,1.524104,0.826933,0.6086
28,0.470206,1.611434,0.828778,0.6032
29,0.453637,1.60509,0.833311,0.6044
0,1.913396,1.580715,0.313867,0.4278
1,1.472341,1.443365,0.464822,0.4908
2,1.323336,1.297423,0.5262,0.5328
3,1.211847,1.26469,0.5682,0.5388
4,1.15325,1.223561,0.592556,0.5674
5,1.07268,1.162614,0.618556,0.5962
6,1.017146,1.262301,0.641622,0.5696
7,0.970393,1.110698,0.655644,0.6116
8,0.928599,1.153926,0.671933,0.6072
9,0.88748,1.100265,0.687444,0.6202
10,0.842998,1.105081,0.701178,0.6274
11,0.808692,1.099522,0.715778,0.6226
12,0.778735,1.130677,0.722,0.6304
13,0.748299,1.147165,0.735733,0.6164
14,0.727251,1.137767,0.740667,0.6336
15,0.687112,1.163154,0.7586,0.6256
16,0.655319,1.173792,0.761756,0.6196
17,0.639241,1.238361,0.772933,0.6202
18,0.61153,1.280206,0.776711,0.6118
19,0.596704,1.291377,0.7866,0.6144
20,0.571536,1.303066,0.790822,0.6172
21,0.554542,1.312866,0.799556,0.6162
22,0.527903,1.422833,0.805578,0.5984
23,0.519433,1.401271,0.811667,0.6054
24,0.51141,1.437997,0.816711,0.6182
25,0.486891,1.412889,0.8224,0.6134
26,0.487286,1.447626,0.824844,0.6064
27,0.466978,1.476564,0.8286,0.619
28,0.460821,1.578779,0.833844,0.6084
29,0.440584,1.584135,0.837467,0.6126
0,1.976367,1.588225,0.2818,0.4196
1,1.472132,1.41108,0.459978,0.4928
2,1.326931,1.284695,0.524733,0.537
3,1.206744,1.225065,0.569333,0.565
4,1.137667,1.178118,0.601333,0.5904
5,1.060157,1.12413,0.628289,0.6034
6,0.991849,1.109022,0.653667,0.6124
7,0.947693,1.110566,0.6696,0.618
8,0.901539,1.141307,0.684178,0.6098
9,0.862244,1.087408,0.698222,0.6368
10,0.812709,1.05206,0.714778,0.6498
11,0.78462,1.092916,0.725533,0.6378
12,0.737732,1.108953,0.738844,0.6304
13,0.715778,1.089327,0.745,0.6414
14,0.686645,1.129237,0.756067,0.6328
15,0.658456,1.181725,0.766622,0.6312
16,0.631336,1.135711,0.774533,0.6488
17,0.615274,1.149571,0.7782,0.6406
18,0.572569,1.235601,0.7924,0.632
19,0.564117,1.244188,0.795844,0.629
20,0.538347,1.26728,0.801222,0.6314
21,0.534027,1.299361,0.806444,0.6214
22,0.499734,1.350145,0.819222,0.6302
23,0.49571,1.396582,0.819778,0.6216
24,0.483434,1.340118,0.824756,0.6262
25,0.458262,1.410964,0.835111,0.6236
26,0.462014,1.445832,0.834089,0.628
27,0.426368,1.498078,0.844022,0.6234
28,0.435494,1.490798,0.843844,0.6282
29,0.414236,1.645256,0.849667,0.61
0,1.962925,1.587458,0.298111,0.4292
1,1.492357,1.411686,0.457578,0.4904
2,1.342407,1.366616,0.519733,0.515
3,1.221075,1.249686,0.566956,0.5512
4,1.149564,1.247635,0.596244,0.5692
5,1.081929,1.147897,0.619978,0.5954
6,1.022002,1.130786,0.638644,0.6044
7,0.972121,1.126539,0.657311,0.611
8,0.922113,1.137775,0.673689,0.6228
9,0.887543,1.150518,0.6886,0.6156
10,0.847458,1.124305,0.700378,0.6246
11,0.815972,1.242755,0.711956,0.6024
12,0.774699,1.201216,0.7242,0.608
13,0.748458,1.175872,0.734222,0.6208
14,0.707822,1.198761,0.744733,0.6158
15,0.693823,1.210924,0.751978,0.616
16,0.664497,1.261799,0.761222,0.6058
17,0.646492,1.24029,0.770356,0.613
18,0.620112,1.345289,0.775378,0.6084
19,0.586825,1.362182,0.786711,0.6048
20,0.547895,1.500937,0.799178,0.5892
21,0.574225,1.435934,0.7914,0.605
22,0.526635,1.432859,0.807467,0.6184
23,0.514271,1.506866,0.811067,0.5978
24,0.522442,1.564662,0.8138,0.5976
25,0.488401,1.577112,0.820733,0.5944
26,0.493536,1.595705,0.821378,0.6052
27,0.469967,1.660672,0.826556,0.5902
28,0.447561,1.665811,0.837356,0.5944
29,0.43008,1.662737,0.841444,0.6034
0,1.9507,1.601013,0.2976,0.4142
1,1.446214,1.399912,0.474644,0.487
2,1.298137,1.27758,0.536978,0.5382
3,1.189546,1.199717,0.5776,0.5756
4,1.111295,1.179615,0.6096,0.5964
5,1.047026,1.160723,0.629622,0.5988
6,1.000154,1.175319,0.645422,0.592
7,0.955761,1.112588,0.661956,0.6206
8,0.911706,1.112979,0.677822,0.6302
9,0.873405,1.127412,0.692911,0.6268
10,0.833291,1.124175,0.702578,0.611
11,0.807839,1.080629,0.713578,0.6394
12,0.771976,1.167156,0.723111,0.6096
13,0.754354,1.160959,0.732822,0.6208
14,0.710502,1.168739,0.743956,0.6304
15,0.690309,1.217923,0.754911,0.6226
16,0.66482,1.238794,0.760978,0.6098
17,0.64616,1.348183,0.767556,0.5942
18,0.614373,1.301868,0.776111,0.5982
19,0.607435,1.361902,0.780911,0.6144
20,0.565765,1.389504,0.786889,0.6098
21,0.572709,1.395589,0.792667,0.6114
22,0.534951,1.37168,0.8,0.608
23,0.51513,1.46608,0.8094,0.5988
24,0.53165,1.588125,0.807244,0.5804
25,0.497118,1.504196,0.817956,0.6044
26,0.498453,1.594176,0.818756,0.5892
27,0.468123,1.653433,0.825467,0.5862
28,0.479262,1.642558,0.828022,0.6042
29,0.434405,1.695521,0.8382,0.5918
0,1.995284,1.605378,0.276422,0.409
