epochs, train_loss, val_loss, train_acc, val_acc
144,0.006660,0.209216,0.998800,0.944800
145,0.006525,0.208996,0.998644,0.945200
146,0.005357,0.210750,0.999111,0.943400
147,0.005669,0.212236,0.999000,0.945000
148,0.005564,0.209015,0.999111,0.944800
149,0.005583,0.211747,0.999089,0.945200
150,0.005530,0.210411,0.999022,0.945000
151,0.004913,0.206614,0.999444,0.946800
152,0.005736,0.210227,0.998822,0.945600
153,0.005994,0.211160,0.999000,0.946600
154,0.005300,0.211257,0.999067,0.946400
155,0.005447,0.211207,0.998978,0.947200
156,0.004971,0.209588,0.999289,0.946200
157,0.005442,0.209420,0.999067,0.945800
158,0.004969,0.211100,0.999133,0.946200
159,0.005327,0.211033,0.998933,0.946200
160,0.005083,0.214523,0.999133,0.946200
161,0.005549,0.211720,0.998956,0.945000
162,0.004952,0.211381,0.999178,0.944600
163,0.004606,0.210627,0.999244,0.946000
164,0.004450,0.209900,0.999289,0.946800
165,0.004795,0.209132,0.999111,0.946800
166,0.005319,0.209278,0.999156,0.946600
167,0.004569,0.212522,0.999311,0.948200
168,0.004374,0.214118,0.999556,0.946600
169,0.004532,0.210244,0.999378,0.947000
170,0.004741,0.211496,0.999133,0.946800
171,0.004295,0.211342,0.999489,0.945600
172,0.004259,0.212535,0.999267,0.943400
173,0.004585,0.212312,0.999289,0.945400
174,0.004987,0.215785,0.999133,0.946800
175,0.003929,0.212061,0.999489,0.946600
176,0.004806,0.215949,0.999133,0.945200
177,0.003887,0.215235,0.999556,0.946400
178,0.004353,0.215654,0.999289,0.946000
179,0.004422,0.216353,0.999311,0.944600
180,0.004223,0.215513,0.999333,0.944400
181,0.004162,0.215729,0.999489,0.945800
182,0.004088,0.215295,0.999356,0.947400
183,0.003889,0.213659,0.999511,0.946800
184,0.003766,0.212608,0.999622,0.946200
185,0.004381,0.214186,0.999422,0.944600
186,0.004303,0.211620,0.999400,0.945800
187,0.003750,0.211023,0.999444,0.947000
188,0.003986,0.212109,0.999422,0.944800
189,0.004262,0.214309,0.999244,0.945400
190,0.004005,0.211086,0.999511,0.946400
191,0.003926,0.216124,0.999600,0.945400
192,0.003591,0.212650,0.999711,0.946800
193,0.003944,0.214870,0.999333,0.944200
194,0.004571,0.211793,0.999356,0.945000
195,0.004106,0.208920,0.999511,0.948000
196,0.004416,0.218881,0.999200,0.944800
197,0.003752,0.214020,0.999511,0.946800
198,0.003950,0.212982,0.999489,0.944400
199,0.004113,0.210747,0.999511,0.947000
